No,articleType,featureType,menuLabel,title,slug,characterName,workName,mainColor,subColor,accentColor,moodKeywords,scene,itemTypes,tags,affiliatePriority,status,memo
1,LOOK,character-bound,LOOK,初音ミクをイメージしたバウンドコーデ｜水色×黒で作る近未来カジュアル,hatsune-miku-bound-coordinate,初音ミク,VOCALOID,水色,黒,シルバー,透明感、近未来感、軽やか、クール,ライブ、イベント、コラボカフェ、普段着,トップス、スカート、バッグ、靴、アクセサリー,初音ミク、バウンドコーデ、水色、黒、シルバー,SHEIN、楽天、Amazon,完成,LOOK記事の基準サンプル。公式衣装や本人再現ではなく、水色×黒×シルバーの雰囲気で日常服に落とし込む。
2,COLOR,color-guide,COLOR,水色の推し活コーデ｜透明感を出せる普段着アイテムの選び方,mint-blue-oshikatsu-coordinate,,,水色,白,シルバー,透明感、爽やか、清楚、軽やか,普段着、ライブ、コラボカフェ、春夏,トップス、スカート、バッグ、アクセサリー,水色、推し色、透明感、普段着,SHEIN、楽天、Amazon、SHOPLIST,完成,初音ミク記事から内部リンクするCOLOR記事。水色推し全般に使える基礎記事にする。
3,COLOR,color-guide,COLOR,黒の推し活コーデ｜大人っぽく見せる差し色と小物の合わせ方,black-oshikatsu-coordinate,,,黒,白,シルバー,クール、大人っぽい、モード、引き締め,普段着、イベント、ライブ、秋冬,トップス、スカート、パンツ、靴、バッグ,黒、推し色、大人っぽい、モード,SHEIN、楽天、Amazon、SHOPLIST,完成,黒推し・クール系キャラの記事に内部リンクできるCOLOR記事。重く見えすぎない合わせ方を説明する。
4,GUIDE,live-coordinate,GUIDE,ライブ参戦におすすめの推し活コーデ｜動きやすくて写真映えする服装ガイド,live-oshikatsu-coordinate,,,複数,複数,複数,動きやすい、写真映え、疲れにくい、推し色,ライブ、イベント、遠征,トップス、ボトムス、バッグ、靴、アクセサリー、収納グッズ,ライブ、遠征、動きやすい、写真映え,SHEIN、楽天、Amazon、Yahoo、SHOPLIST,完成,場面情報はカテゴリ化せずタグとして扱うGUIDE記事。バッグ・靴・収納グッズまで商品導線を広げる。
5,GUIDE,cafe-coordinate,GUIDE,コラボカフェに着ていきたい推し活コーデ｜浮かないのに写真映えする着こなし,collaboration-cafe-oshikatsu-coordinate,,,複数,複数,複数,写真映え、上品、さりげない、カフェ向き,コラボカフェ、推し会、本人不在の誕生日会,ワンピース、トップス、スカート、バッグ、アクセサリー,コラボカフェ、推し会、写真映え,SHEIN、楽天、Amazon、Qoo10,完成,場面情報はカテゴリ化せずタグとして扱うGUIDE記事。強い再現ではなく、席写真やグッズ写真に馴染む服装を提案する。
6,FEATURE,basic-knowledge,FEATURE,バウンドコーデとは？コスプレとの違いと始め方をわかりやすく解説,bound-coordinate-beginner-guide,,,複数,複数,複数,初心者向け、日常服、さりげない、推し活を身近に,普段着、イベント、推し活初心者,トップス、小物、バッグ、アクセサリー,バウンドコーデ、初心者、始め方,楽天、Amazon、SHEIN,完成,FEATURE記事。サイト思想を伝える基礎記事。商品紹介は控えめにし、信頼形成を優先する。
7,GUIDE,rights-and-manners,GUIDE,推し別コーデで気をつけたい著作権とマナー｜公式画像を使わず楽しむ方法,oshikatsu-coordinate-copyright-manners,,,複数,複数,複数,非公式、著作権、マナー、安心,サイト全体、推し活初心者、記事方針,なし,著作権、マナー、非公式、公式画像なし,なし,完成,GUIDE記事。公式画像・ロゴ・衣装再現・商品写真加工を避ける方針を説明する。
8,GUIDE,shopping-guide,GUIDE,SHEINで推し活コーデを探すコツ｜失敗しにくい検索ワードと選び方,shein-oshikatsu-coordinate-guide,,,複数,複数,複数,プチプラ、探し方、サイズ感、レビュー確認,普段着、イベント、ライブ、推し会,トップス、ボトムス、バッグ、靴、アクセサリー,SHEIN、買い物ガイド、検索ワード、レビュー,SHEIN,完成,GUIDE記事。SHEIN送客用の記事。商品写真は無加工の公式素材・商品カードとして扱う前提で書く。
9,GUIDE,item-guide,GUIDE,推し活に使いやすいシルバーバッグ｜水色・黒・白コーデに合わせる小物選び,silver-bag-oshikatsu-coordinate,,,シルバー,水色,黒,近未来感、透明感、アクセント、大人っぽい,ライブ、コラボカフェ、普段着、イベント,バッグ、アクセサリー,シルバーバッグ、小物、バッグ、推し活,SHEIN、楽天、Amazon、Yahoo、Qoo10,完成,GUIDE記事。初音ミク記事や水色・黒系記事から内部リンクしやすい商品記事。小物で推し感を足す提案にする。
10,STYLE,taste-guide,STYLE,近未来・サイバー系の推し活コーデ｜水色×黒×シルバーで作る透明感スタイル,futuristic-cyber-oshikatsu-coordinate,,,水色,黒,シルバー,近未来感、サイバー、透明感、クール,ライブ、イベント、普段着、撮影,トップス、スカート、パンツ、バッグ、靴、アクセサリー,近未来、サイバー、テイスト別、水色,SHEIN、楽天、Amazon、SHOPLIST,完成,STYLE記事。特定キャラに依存しないSEO・Pinterest向け記事にする。
